workclass,education,marital-status,occupation,relationship,race,native-country,age,fnlwgt,education-nums,capital-gain,capital-loss,hours-per-week,sex,>50K
1,2,1,4,3,1,1,51,96062,10,0,1977,40,0,1
6,1,1,6,3,1,1,28,149624,13,0,0,40,0,1
5,2,1,5,3,5,1,44,181344,10,0,0,38,0,1
1,9,1,8,3,1,21,40,286370,4,0,0,40,0,1
4,2,1,9,3,1,1,37,29054,10,0,0,42,0,1
6,14,1,6,3,1,1,58,109567,16,0,0,1,0,1
4,11,3,5,4,1,1,40,56795,14,14084,0,55,1,1
1,11,1,6,5,1,1,35,138992,14,7298,0,40,0,1
1,1,1,5,3,1,1,51,259323,13,0,0,50,0,1
1,1,1,3,3,5,1,36,128757,13,7298,0,36,0,1
3,4,1,4,1,1,1,58,210563,9,15024,0,35,1,1
1,4,1,2,3,1,1,37,208358,9,0,0,40,0,1
3,9,1,8,3,1,1,54,125417,4,0,0,40,0,1
1,1,3,5,4,5,1,37,635913,13,0,0,60,0,1
1,5,3,6,4,1,1,28,76714,15,0,0,55,0,1
1,1,1,5,3,1,14,41,180138,13,0,0,50,0,1
5,11,1,5,3,1,1,38,115076,14,0,0,70,0,1
1,1,1,6,3,1,1,40,347890,13,0,0,40,0,1
1,4,1,9,3,1,1,58,236596,9,0,0,45,0,1
1,6,1,1,3,1,1,40,207578,12,0,1977,60,0,1
1,5,1,6,1,1,1,41,112763,15,0,0,40,1,1
2,4,1,10,3,2,2,42,303044,9,0,0,40,0,1
3,2,1,5,3,2,35,37,257295,10,0,0,75,0,1
1,4,1,5,3,1,1,64,21174,9,0,0,40,0,1
1,4,1,2,1,1,1,33,222205,9,0,0,40,1,1
1,4,1,5,3,1,1,61,69867,9,0,0,40,0,1
1,2,1,2,3,1,1,44,170924,10,7298,0,40,0,1
1,2,1,8,1,1,1,24,279472,10,7298,0,48,1,1
5,2,1,2,3,1,1,42,97688,10,5178,0,40,0,1
4,11,1,4,3,1,1,57,425161,14,15024,0,40,0,1
1,5,1,6,3,1,1,41,220531,15,0,0,60,0,1
1,1,1,9,3,1,1,48,146268,13,7688,0,40,0,1
1,4,1,11,3,1,1,31,217460,9,0,0,45,0,1
1,4,1,4,3,1,1,55,238638,9,4386,0,40,0,1
1,6,1,9,3,1,1,35,193815,12,0,0,40,0,1
3,2,1,10,3,1,1,41,34987,10,0,0,54,0,1
1,11,1,5,3,2,28,34,142897,14,7298,0,35,0,1
2,1,2,6,4,5,1,36,205607,13,0,0,40,1,1
1,2,1,6,1,1,1,43,187728,10,0,1887,50,1,1
1,7,1,2,3,1,1,38,296478,11,7298,0,40,0,1
6,4,1,13,3,1,1,36,119272,9,7298,0,40,0,1
1,1,1,5,3,1,1,33,117963,13,0,0,40,0,1
1,1,1,5,3,1,1,33,111363,13,0,0,40,0,1
0,1,1,0,3,1,1,59,372020,13,0,0,40,0,1
4,4,1,9,3,1,1,38,95432,9,0,0,40,0,1
1,7,1,1,3,1,1,40,96129,11,0,0,40,0,1
1,11,1,6,3,1,1,62,270092,14,0,0,40,0,1
1,1,2,5,4,1,1,43,174575,13,0,1564,45,0,1
1,1,2,5,4,1,1,57,212448,13,0,0,45,1,1
6,7,1,8,3,1,1,40,184018,11,0,0,38,0,1
1,2,1,9,1,1,1,44,162028,10,0,2415,6,1,1
1,4,1,3,1,1,1,35,220098,9,0,0,40,1,1
6,1,1,5,3,1,0,34,98101,13,7688,0,45,0,1
1,1,1,5,3,1,1,25,86872,13,0,0,55,0,1
3,1,1,5,3,1,1,52,132178,13,0,0,50,0,1
6,1,1,13,3,1,1,50,288353,13,0,0,40,0,1
1,11,1,5,3,1,1,41,445382,14,0,1977,65,0,1
0,2,1,0,1,1,1,28,123147,10,0,1887,40,1,1
1,14,1,5,3,1,1,46,188386,16,15024,0,60,0,1
1,10,2,2,4,1,1,35,92440,8,0,0,50,0,1
6,1,1,5,1,1,1,32,92003,13,0,0,40,1,1
3,4,1,5,3,1,1,63,222289,9,0,0,40,0,1
1,6,1,3,1,1,1,30,29662,12,0,0,25,1,1
1,11,1,6,3,1,1,33,208405,14,0,0,50,0,1
1,2,1,6,3,1,1,44,116632,10,0,0,40,0,1
3,2,1,2,3,1,1,45,197332,10,0,0,55,0,1
1,4,1,2,3,1,1,60,245062,9,0,0,40,0,1
1,6,1,5,3,5,0,42,197583,12,0,0,40,0,1
2,4,1,4,1,1,1,44,234885,9,0,0,40,1,1
1,7,1,8,3,2,1,40,72887,11,0,0,40,0,1
1,11,1,5,3,1,1,49,192776,14,0,1977,45,0,1
1,1,1,1,1,1,1,30,118551,13,0,0,16,1,1
1,2,3,6,6,1,1,60,201965,10,0,0,40,0,1
1,1,1,4,3,1,1,38,91039,13,15024,0,60,0,1
1,2,1,6,3,1,1,34,337587,10,0,0,50,0,1
1,1,1,6,3,1,1,34,108116,13,0,0,50,0,1
3,1,1,5,3,1,1,38,99146,13,15024,0,80,0,1
1,4,1,5,3,1,1,50,196232,9,7688,0,50,0,1
5,2,1,1,3,1,1,37,186035,10,0,0,45,0,1
1,2,2,8,6,1,1,44,177905,10,0,0,58,0,1
1,1,1,5,3,1,1,42,221172,13,0,0,40,0,1
1,6,1,5,1,1,1,41,101739,12,0,0,50,1,1
1,5,1,6,3,1,1,67,231559,15,20051,0,48,0,1
4,7,2,2,6,5,1,33,319560,11,0,0,40,1,1
1,1,1,4,3,1,1,54,212960,13,0,0,35,0,1
1,2,1,6,3,1,1,47,264052,10,0,0,50,0,1
2,1,1,6,3,1,1,52,334273,13,0,0,60,0,1
1,7,1,2,3,1,1,37,22463,11,0,1977,40,0,1
1,1,1,5,1,1,1,29,350162,13,0,0,40,0,1
0,2,1,0,3,1,1,65,195733,10,0,0,30,0,1
1,4,1,4,3,1,1,57,69884,9,0,0,40,0,1
1,13,1,2,3,1,1,52,25826,6,0,1887,47,0,1
1,9,3,11,4,1,1,60,39352,4,0,0,48,0,1
1,1,1,6,3,1,5,31,168387,13,7688,0,40,0,1
2,5,1,6,3,1,1,42,214242,15,0,1902,50,0,1
1,11,1,2,3,1,1,51,410114,14,0,0,40,0,1
1,5,1,6,3,1,1,46,102388,15,15024,0,45,0,1
1,4,1,4,3,1,1,34,153614,9,0,0,45,0,1
1,2,1,5,3,1,1,33,205469,10,0,0,40,0,1
1,1,1,4,3,1,1,49,268090,13,0,0,26,0,1
1,2,1,2,3,1,1,43,154374,10,15024,0,60,0,1
1,1,1,9,1,5,1,30,103649,13,0,0,40,1,1
1,1,1,5,3,1,1,33,175697,13,15024,0,60,0,1
2,14,1,6,3,1,1,52,289436,16,0,0,60,0,1
1,2,1,4,3,1,1,36,188563,10,5178,0,50,0,1
3,14,0,6,4,1,1,50,195322,16,0,0,40,0,1
6,1,1,1,3,1,1,30,169496,13,0,0,40,0,1
1,14,1,6,3,2,28,35,292472,16,0,0,40,0,1
1,4,1,8,3,1,1,43,174524,9,0,0,40,0,1
2,10,1,7,3,5,1,44,335183,8,0,0,40,0,1
1,6,2,6,6,1,1,42,341204,12,8614,0,40,1,1
1,4,1,2,3,5,1,42,247019,9,0,0,40,0,1
1,1,1,5,3,1,1,33,182556,13,0,0,40,0,1
3,4,1,4,3,1,1,50,219420,9,0,0,50,0,1
1,7,1,2,3,1,22,37,161141,11,0,0,40,0,1
2,4,1,2,3,1,1,34,190290,9,0,0,40,0,1
1,11,3,6,4,1,1,35,203628,14,0,0,60,0,1
1,11,1,1,3,1,1,31,118710,14,0,1902,40,0,1
1,14,2,6,6,1,1,46,295566,16,25236,0,65,1,1
1,1,2,5,2,1,1,44,63042,13,0,0,50,1,1
1,1,1,5,3,1,1,34,217460,13,0,0,45,0,1
5,4,1,5,3,1,1,50,50459,9,0,0,42,0,1
1,1,1,5,3,1,1,42,162140,13,7298,0,45,0,1
1,1,3,6,4,1,0,43,177937,13,0,0,40,0,1
2,3,1,5,3,1,0,65,118474,7,9386,0,59,0,1
1,1,1,1,3,1,1,42,279914,13,0,0,40,0,1
1,11,3,5,4,1,1,42,151408,14,14084,0,50,1,1
5,1,1,6,1,1,1,42,126319,13,0,0,40,1,1
1,4,1,11,3,1,1,55,197422,9,7688,0,40,0,1
6,1,1,5,3,1,1,29,356089,13,7688,0,40,0,1
1,4,1,11,3,1,1,54,285854,9,0,0,40,0,1
4,4,1,9,1,1,1,46,167381,9,0,0,40,1,1
5,4,1,9,1,1,1,59,420537,9,0,0,38,1,1
3,14,1,5,3,1,1,53,128272,16,0,0,70,0,1
1,1,3,4,4,1,1,51,386773,13,0,0,55,0,1
1,7,1,1,1,1,1,37,280282,11,0,0,24,1,1
1,1,1,4,3,1,1,43,226902,13,0,0,50,0,1
1,7,1,5,3,1,1,40,130760,11,0,0,50,0,1
1,1,3,4,4,4,1,40,237601,13,0,0,55,1,1
1,7,1,1,3,1,1,48,102102,11,0,0,50,0,1
1,4,1,11,3,1,1,60,31577,9,0,0,60,0,1
1,11,3,1,4,1,1,46,90758,14,0,0,35,0,1
1,1,1,5,3,1,3,43,274363,13,0,1902,40,0,1
1,4,1,2,3,1,1,32,231043,9,5178,0,48,0,1
1,1,1,6,3,1,1,33,169879,13,3103,0,47,0,1
1,1,1,6,3,1,1,64,270333,13,0,0,40,0,1
1,2,1,2,3,1,1,56,186556,10,0,0,50,0,1
1,4,1,11,3,1,1,47,191277,9,0,0,50,0,1
1,4,0,11,6,1,1,57,34269,9,0,653,42,0,1
1,2,1,9,1,1,1,53,194259,10,4386,0,40,1,1
1,1,2,6,4,1,1,41,180572,13,0,0,50,1,1
1,2,1,6,3,1,1,51,146813,10,0,0,40,0,1
1,4,1,2,3,1,1,55,387569,9,4386,0,40,0,1
1,1,1,5,3,1,1,37,86551,13,0,0,45,0,1
1,11,0,6,4,1,1,61,99784,14,0,0,40,1,1
6,14,2,6,2,1,1,48,327886,16,0,0,50,0,1
1,4,1,3,3,1,1,59,142182,9,0,0,40,0,1
1,1,3,5,4,1,1,49,38563,13,0,0,56,1,1
1,2,1,10,3,1,1,39,176186,10,0,0,50,0,1
1,1,1,5,3,1,1,44,48087,13,0,0,40,0,1
2,11,1,4,3,1,1,71,143437,14,10605,0,40,0,1
2,1,1,4,3,2,12,51,160724,13,0,2415,40,0,1
1,1,1,5,3,1,1,41,194636,13,0,0,60,0,1
1,4,1,11,3,1,1,39,117683,9,0,0,40,0,1
1,1,1,9,5,1,16,32,270335,13,0,0,40,0,1
1,1,1,4,3,1,1,38,95336,13,0,0,50,0,1
1,1,1,6,3,1,1,37,183800,13,7688,0,50,0,1
2,5,1,10,3,1,1,42,177307,15,0,0,65,0,1
1,1,1,5,3,1,1,30,87418,13,0,0,45,0,1
1,1,1,5,3,1,1,39,202027,13,15024,0,45,0,1
3,4,1,5,3,2,1,67,76860,9,0,0,40,0,1
1,11,1,5,3,1,1,51,138022,14,0,0,60,0,1
1,3,1,8,3,1,1,37,186934,7,3103,0,44,0,1
1,4,1,2,3,1,1,37,176900,9,0,0,99,0,1
1,5,1,6,3,1,1,41,132222,15,0,2415,40,0,1
1,1,3,4,4,1,1,31,111567,13,0,0,40,0,1
3,4,1,5,3,1,1,38,196373,9,0,0,40,0,1
3,1,1,5,1,1,1,36,108293,13,0,1977,45,1,1
6,4,1,6,1,1,1,44,174675,9,0,0,40,1,1
1,11,1,5,3,1,1,43,227065,14,0,0,43,0,1
3,2,1,4,3,1,1,44,398473,10,0,0,70,0,1
2,1,1,5,3,1,1,33,123424,13,0,0,40,0,1
1,6,1,5,3,1,1,42,176286,12,0,0,40,0,1
3,2,1,4,3,1,1,35,368825,10,0,0,60,0,1
1,1,1,5,3,2,8,48,164966,13,0,0,40,0,1
1,4,1,2,3,1,1,34,202046,9,0,0,35,0,1
1,1,0,5,4,1,1,67,105252,13,0,2392,40,0,1
6,11,1,6,3,1,1,40,188693,14,0,0,35,0,1
5,4,0,13,4,1,1,45,318280,9,0,0,40,0,1
1,4,1,9,3,1,1,47,192835,9,0,0,50,0,1
1,4,1,5,3,1,1,56,112840,9,0,0,55,0,1
4,1,2,5,6,1,1,48,33109,13,0,0,58,0,1
3,1,1,5,3,1,1,39,329980,13,15024,0,50,0,1
1,14,1,6,3,1,1,50,168212,16,0,1902,65,0,1
6,4,1,6,1,1,1,38,343642,9,0,0,40,1,1
3,4,1,5,3,1,1,39,180804,9,0,0,40,0,1
2,4,1,2,3,1,1,54,123011,9,15024,0,52,0,1
1,4,1,8,3,1,1,50,767403,9,3103,0,40,0,1
1,2,1,6,3,1,1,42,118494,10,0,0,44,0,1
1,7,1,1,1,1,1,33,26973,11,0,0,40,1,1
5,11,1,6,3,1,1,48,123075,14,0,0,35,0,1
2,1,1,5,3,1,1,50,83311,13,0,0,13,0,0
1,4,2,7,4,1,1,38,215646,9,0,0,40,0,0
1,3,1,7,3,5,1,53,234721,7,0,0,40,0,0
1,1,1,6,1,5,13,28,338409,13,0,0,40,1,0
1,11,1,5,1,1,1,37,284582,14,0,0,40,1,0
1,8,5,3,4,5,19,49,160187,5,0,0,16,1,0
1,1,3,9,2,1,1,23,122272,13,0,0,30,1,0
1,6,3,4,4,5,1,32,205019,12,0,0,50,0,0
1,9,1,11,3,3,21,34,245487,4,0,0,45,0,0
2,4,3,10,2,1,1,25,176756,9,0,0,35,0,0
1,4,3,8,6,1,1,32,186824,9,0,0,40,0,0
1,3,1,4,3,1,1,38,28887,7,0,0,50,0,0
1,4,0,3,6,5,1,54,302146,9,0,0,20,1,0
4,8,1,10,3,5,1,35,76845,5,0,0,40,0,0
1,3,1,11,3,1,1,43,117037,7,0,2042,40,0,0
1,4,2,1,6,1,1,59,109015,9,0,0,40,1,0
1,4,3,2,2,1,1,19,168294,9,0,0,40,0,0
1,4,2,5,4,1,1,39,367260,9,0,0,80,0,0
1,4,1,2,3,1,1,49,193366,9,0,0,40,0,0
5,6,3,13,4,1,1,23,190709,12,0,0,52,0,0
1,2,3,4,2,5,1,20,266015,10,0,0,44,0,0
1,1,2,5,2,1,1,45,386940,13,0,1408,40,0,0
4,2,1,9,2,1,1,30,59951,10,0,0,40,0,0
6,2,1,3,3,5,1,22,311512,10,0,0,15,0,0
1,3,3,8,6,1,4,48,242406,7,0,0,40,0,0
1,2,3,8,2,1,1,21,197200,10,0,0,40,0,0
1,4,6,9,1,1,1,19,544091,9,0,0,25,1,0
2,6,1,6,3,1,1,48,265477,12,0,0,40,0,0
1,8,1,8,3,1,1,31,507875,5,0,0,43,0,0
2,1,1,6,3,1,1,53,88506,13,0,0,40,0,0
1,1,1,1,3,1,1,24,172987,13,0,0,50,0,0
1,4,0,9,6,1,1,49,94638,9,0,0,40,1,0
1,4,3,7,4,1,1,25,289980,9,0,0,35,0,0
1,4,1,8,3,1,1,53,144361,9,0,0,38,0,0
1,11,2,5,6,1,1,44,128354,14,0,0,40,1,0
6,7,1,2,3,1,1,41,101603,11,0,0,40,0,0
1,7,3,6,4,1,1,29,271466,11,0,0,43,0,0
1,2,1,5,1,4,1,25,32275,10,0,0,40,1,0
1,4,3,3,2,1,0,18,226956,9,0,0,30,1,0
3,4,2,5,4,1,1,47,109832,9,0,0,60,0,0
1,15,1,8,3,1,21,46,216666,3,0,0,40,0,0
1,7,1,3,3,1,4,35,56352,11,0,0,40,0,0
1,4,1,9,3,1,1,41,147372,9,0,0,48,0,0
1,4,1,8,3,1,1,30,188146,9,5013,0,40,0,0
1,1,1,4,3,1,1,30,59496,13,2407,0,40,0,0
0,9,5,0,4,1,0,32,293936,4,0,0,40,0,0
1,4,1,11,3,1,1,48,149640,9,0,0,40,0,0
1,2,2,1,4,1,1,29,105598,10,0,0,58,0,0
1,4,1,2,3,1,1,36,155537,9,0,0,40,0,0
1,2,2,9,4,1,1,28,183175,10,0,0,40,1,0
0,2,3,0,2,1,1,25,200681,10,0,0,40,0,0
1,2,3,6,2,1,1,19,101509,10,0,0,32,0,0
1,1,0,4,2,5,1,31,309974,13,0,0,40,1,0
1,2,3,8,4,1,1,23,211678,10,0,0,40,0,0
1,2,1,6,5,1,1,79,124744,10,0,0,20,0,0
1,4,3,3,2,1,21,27,213921,9,0,0,40,0,0
1,6,1,9,3,1,1,40,32214,12,0,0,40,0,0
0,13,1,0,3,1,1,67,212759,6,0,0,2,0,0
1,3,3,3,2,1,1,18,309634,7,0,0,22,1,0
5,9,1,10,3,1,1,31,125927,4,0,0,40,0,0
1,4,3,4,4,1,1,18,446839,9,0,0,30,0,0
1,1,1,3,3,1,13,52,276515,13,0,0,40,0,0
1,4,1,3,1,1,1,46,51618,9,0,0,40,1,0
1,4,1,4,3,1,1,59,159937,9,0,0,48,0,0
1,4,2,4,2,1,1,53,346253,9,0,0,35,1,0
1,11,1,6,3,1,1,33,202051,14,0,0,50,0,0
1,8,3,4,4,1,1,30,54334,5,0,0,40,0,0
1,7,1,6,3,1,1,57,249977,11,0,0,40,0,0
1,2,2,2,6,1,1,37,286730,10,0,0,40,1,0
1,2,2,8,6,5,1,28,212563,10,0,0,25,1,0
1,4,1,4,1,2,0,30,117747,9,0,1573,35,1,0
5,2,3,7,4,1,1,29,115585,10,0,0,50,0,0
1,6,2,5,6,1,3,48,171095,12,0,0,40,1,0
4,4,3,3,2,5,1,32,249409,9,0,0,40,0,0
2,11,3,6,4,1,1,47,149116,14,0,0,50,1,0
1,2,3,1,2,1,1,20,188300,10,0,0,40,1,0
1,4,3,2,4,1,1,29,103432,9,0,0,40,0,0
0,13,3,0,2,1,1,17,304873,6,34095,0,32,1,0
1,3,3,7,2,1,1,30,194901,7,0,0,40,0,0
5,4,3,9,4,1,1,31,189265,9,0,0,40,1,0
1,4,1,7,3,1,1,42,124692,9,0,0,40,0,0
1,1,3,4,5,1,1,24,432376,13,0,0,40,0,0
1,2,1,4,1,1,1,28,377869,10,4064,0,25,1,0
1,4,3,8,2,1,1,36,102864,9,0,0,40,1,0
1,8,1,7,3,1,1,53,95647,5,0,0,50,0,0
3,2,1,4,3,1,1,56,303090,10,0,0,50,0,0
1,2,1,4,3,1,1,55,247552,10,0,0,56,0,0
1,4,3,2,4,1,1,22,102632,9,0,0,41,0,0
1,2,3,3,2,1,1,21,199915,10,0,0,40,1,0
1,1,1,5,3,1,1,40,118853,13,0,0,60,0,0
1,1,3,5,2,5,6,30,77143,13,0,0,40,0,0
1,2,3,3,2,5,1,19,301606,10,0,0,35,0,0
1,2,3,9,2,1,1,20,111697,10,0,1719,28,1,0
0,4,1,0,3,1,1,35,129305,9,0,0,40,0,0
1,2,2,2,4,1,1,39,365739,10,0,0,40,0,0
1,6,3,4,4,1,1,28,69621,12,0,0,60,1,0
1,4,3,3,4,1,1,24,43323,9,0,1762,40,1,0
2,4,1,2,3,1,1,38,120985,9,4386,0,35,0,0
1,1,1,4,3,1,1,37,254202,13,0,0,50,0,0
1,6,2,1,4,5,1,46,146195,12,0,0,36,1,0
2,4,1,2,3,1,1,43,56920,9,0,0,60,0,0
1,7,1,9,1,1,1,27,163127,11,0,0,35,1,0
1,2,3,4,2,1,1,20,34310,10,0,0,20,0,0
3,4,1,2,3,1,1,61,66614,9,0,0,40,0,0
1,2,3,4,2,1,1,27,232782,10,0,0,40,1,0
1,2,3,3,2,1,21,19,316868,10,0,0,30,0,0
1,2,3,1,5,1,1,70,105376,10,0,0,40,0,0
1,4,3,11,6,5,1,31,185814,9,0,0,30,1,0
1,2,1,3,3,1,1,22,175374,10,0,0,24,0,0
1,4,0,3,6,1,1,36,108293,9,0,0,24,1,0
1,3,1,2,3,1,1,64,181232,7,0,2179,40,0,0
0,2,2,0,4,1,1,43,174662,10,0,0,40,1,0
5,2,2,9,6,1,21,47,186009,10,0,0,38,1,0
1,4,3,9,4,1,1,34,198183,9,0,0,40,1,0
1,1,3,5,5,2,16,33,163003,13,0,0,40,1,0
1,4,3,2,2,1,1,21,296158,9,0,0,35,0,0
1,4,1,2,3,1,1,48,187715,9,0,0,46,0,0
1,1,3,7,4,1,1,23,214542,13,0,0,40,0,0
2,2,0,4,6,5,1,71,494223,10,0,1816,2,0,0
1,4,2,2,4,1,1,29,191535,9,0,0,60,0,0
1,1,0,3,5,5,1,42,228456,13,0,0,50,0,0
0,12,2,0,4,1,1,68,38317,2,0,0,20,1,0
1,4,3,3,6,1,1,25,252752,9,0,0,40,1,0
3,11,2,5,6,2,1,44,78374,14,0,0,40,1,0
1,4,3,5,4,2,3,28,88419,9,0,0,40,1,0
1,2,2,3,6,1,21,36,207157,10,0,0,40,1,0
4,6,3,5,4,1,1,39,235485,12,0,0,42,0,0
6,11,0,13,6,1,1,46,102628,14,0,0,40,0,0
1,3,3,7,2,1,1,18,25828,7,0,0,16,0,0
5,7,0,6,4,1,1,66,54826,11,0,0,20,1,0
1,4,3,3,4,1,1,27,124953,9,0,1980,40,0,0
6,4,1,13,3,1,1,28,175325,9,0,0,40,0,0
1,1,3,2,4,1,1,27,428030,13,0,0,50,0,0
1,4,5,4,6,1,1,27,253814,9,0,0,25,1,0
1,4,3,2,2,5,1,21,312956,9,0,0,40,0,0
1,4,3,7,4,5,1,34,483777,9,0,0,40,0,0
1,4,3,3,2,1,1,18,183930,9,0,0,12,0,0
1,1,1,6,3,1,1,33,37274,13,0,0,65,0,0
1,2,2,9,4,1,1,43,114580,10,0,0,40,1,0
1,2,3,2,4,5,1,30,633742,10,0,0,45,0,0
1,4,1,9,3,5,1,34,304030,9,0,0,40,0,0
2,1,2,5,4,1,1,41,143129,13,0,0,40,1,0
0,1,2,0,4,1,1,53,135105,13,0,0,50,1,0
1,11,1,6,1,1,1,31,99928,14,0,0,50,1,0
1,2,2,8,4,5,1,38,155222,10,0,0,28,1,0
1,2,1,8,3,1,1,24,159567,10,0,0,40,0,0
5,1,1,2,3,5,1,41,523910,13,0,0,40,0,0
1,2,1,1,3,1,1,47,120939,10,0,0,45,0,0
4,1,1,1,3,1,1,41,130760,13,0,0,24,0,0
1,15,1,11,5,1,21,23,197387,3,0,0,40,0,0
1,2,2,2,4,1,1,36,99374,10,0,0,40,0,0
2,4,3,4,4,1,1,24,32921,9,0,0,40,0,0
1,11,3,6,4,1,1,26,397317,14,0,1876,40,1,0
0,4,3,0,2,1,17,19,170653,9,0,0,40,0,0
5,2,3,6,4,1,1,42,254817,10,0,1340,40,1,0
6,4,2,9,6,1,1,37,48211,9,0,0,35,1,0
1,3,3,4,2,1,1,18,140164,7,0,0,40,1,0
1,4,2,2,4,1,1,35,36270,9,0,0,60,0,0
1,3,3,4,2,1,1,17,65368,7,0,0,12,1,0
5,4,1,11,3,5,1,44,160943,9,0,0,40,0,0
1,2,3,4,4,3,1,35,153790,10,0,0,40,1,0
1,4,1,2,3,2,1,60,85815,9,0,0,40,0,0
1,6,2,4,4,1,1,50,313321,12,0,0,40,1,0
1,1,1,4,3,1,18,38,182609,13,0,0,50,0,0
1,1,1,6,3,1,1,45,109434,13,0,0,55,0,0
1,13,3,2,4,1,1,25,255004,6,0,0,40,0,0
1,2,1,7,3,1,1,31,197860,10,0,0,40,0,0
0,12,2,0,4,1,1,64,187656,2,0,0,40,0,0
1,4,3,3,4,5,1,90,51744,9,0,2206,40,0,0
1,4,1,9,3,5,1,54,176681,9,0,0,20,0,0
5,16,3,8,4,1,1,53,140359,1,0,0,35,1,0
1,4,3,4,2,1,1,18,243313,9,0,0,40,1,0
0,13,2,0,4,3,1,60,24215,6,0,0,10,1,0
2,4,1,10,3,1,1,66,167687,9,1409,0,50,0,0
1,7,0,9,4,1,30,75,314209,11,0,0,20,1,0
1,4,2,9,4,1,1,65,176796,9,0,0,40,1,0
1,3,0,11,4,5,1,35,538583,7,3674,0,40,0,0
1,4,2,4,6,5,1,41,130408,9,0,0,38,1,0
1,2,3,9,4,1,1,25,159732,10,0,0,42,0,0
1,2,2,2,5,4,1,33,110978,10,0,0,40,1,0
6,4,1,3,3,1,1,59,268700,9,0,0,40,0,0
6,2,3,9,4,1,1,40,170525,10,0,0,38,1,0
1,4,3,11,2,1,1,23,115458,9,0,0,40,0,0
2,4,1,3,1,1,1,41,196001,9,0,0,20,1,0
6,6,1,13,3,1,1,24,273905,12,0,0,50,0,0
0,2,3,0,2,1,1,20,119156,10,0,0,20,0,0
1,2,2,2,4,1,1,38,179488,10,0,1741,40,0,0
1,4,1,9,3,1,0,56,203580,9,0,0,35,0,0
1,4,3,3,4,1,1,32,183916,9,0,0,34,1,0
1,4,1,9,3,1,0,45,153141,9,0,0,40,0,0
1,1,1,9,1,5,1,42,390781,13,0,0,40,1,0
5,13,0,3,6,5,1,59,171328,6,0,0,30,1,0
5,2,3,9,2,1,1,19,27382,10,0,0,40,0,0
1,2,3,11,4,1,1,58,259014,10,0,0,20,0,0
1,4,3,3,2,1,1,20,117789,9,0,0,40,1,0
1,4,0,3,4,1,1,32,172579,9,0,0,30,1,0
1,7,0,5,4,1,1,45,187666,11,0,0,45,1,0
1,9,2,2,4,1,1,50,204518,4,0,0,40,0,0
1,1,2,6,2,1,1,36,150042,13,0,0,40,1,0
1,4,1,4,3,1,1,45,98092,9,0,0,60,0,0
1,3,3,3,2,1,1,17,245918,7,0,0,12,0,0
1,2,1,4,3,1,1,59,146013,10,4064,0,40,0,0
1,3,1,2,3,1,1,26,378322,7,0,0,40,0,0
0,2,3,0,2,1,5,19,218956,10,0,0,24,0,0
